EIA MODEL CODE,GDM MODEL CODE,EIA MODEL RANGE,GDM MODEL RANGE,OBSERVATION
PET.MBNRSAP1.M,US.OIL.EIA.MBNRSAP1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSEE1.M,US.OIL.EIA.MBNRSEE1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSP11.M,US.OIL.EIA.MBNRSP11_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSP21.M,US.OIL.EIA.MBNRSP21_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSP31.M,US.OIL.EIA.MBNRSP31_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSP41.M,US.OIL.EIA.MBNRSP41_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSP51.M,US.OIL.EIA.MBNRSP51_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MBNRSUS1.M,US.OIL.EIA.MBNRSUS1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCKRSP11.M,US.OIL.EIA.MCKRSP11_M,01-01-1993 to 01-12-2010,01-01-1993 to 01-12-2010,True
PET.MCKRSP21.M,US.OIL.EIA.MCKRSP21_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCKRSP31.M,US.OIL.EIA.MCKRSP31_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCKRSP41.M,US.OIL.EIA.MCKRSP41_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCKRSP51.M,US.OIL.EIA.MCKRSP51_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCKRSUS1.M,US.OIL.EIA.MCKRSUS1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCMRS2A1.M,US.OIL.EIA.MCMRS2A1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCMRS2B1.M,US.OIL.EIA.MCMRS2B1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCMRS2C1.M,US.OIL.EIA.MCMRS2C1_M,01-01-1993 to 01-05-2018,01-01-1993 to 01-05-2018,True
PET.MCMRS3A1.M,US.OIL.EIA.MCMRS3A1_M,01-11-1993 to 01-05-2018,01-11-1993 to 01-05-2018,True
