ID,NAME,DESCRIPTION,MODEL_TYPE,CATEGORY,CODE,DEFAULT_ATTRIBUTE, IS_TEMPLATE, TEMPLATE_ID,STATUS,DATASET_PACKAGE_ID,URI
432121,US.OIL.EIA.MAPRS2A1_A,Refining District Indiana-Illinois-Kentucky Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS2A1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS2A1_A
432122,US.OIL.EIA.MAPRS2A1_M,Refining District Indiana-Illinois-Kentucky Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS2A1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS2A1_M
432123,US.OIL.EIA.MAPRS2B1_A,Refining District Minnesota-Wisconsin-North Dakota-South Dakota Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS2B1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS2B1_A
432124,US.OIL.EIA.MAPRS2B1_M,Refining District Minnesota-Wisconsin-North Dakota-South Dakota Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS2B1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS2B1_M
432125,US.OIL.EIA.MAPRS2C1_A,Refining District Oklahoma-Kansas-Missouri Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS2C1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS2C1_A
432126,US.OIL.EIA.MAPRS2C1_M,Refining District Oklahoma-Kansas-Missouri Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS2C1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS2C1_M
432127,US.OIL.EIA.MAPRS3A1_A,Refining District Texas Inland Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3A1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3A1_A
432128,US.OIL.EIA.MAPRS3A1_M,Refining District Texas Inland Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3A1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3A1_M
432129,US.OIL.EIA.MAPRS3B1_A,Refining District Texas Gulf Coast Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3B1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3B1_A
432130,US.OIL.EIA.MAPRS3B1_M,Refining District Texas Gulf Coast Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3B1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3B1_M
432131,US.OIL.EIA.MAPRS3C1_A,Refining District Louisiana Gulf Coast Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3C1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3C1_A
432132,US.OIL.EIA.MAPRS3C1_M,Refining District Louisiana Gulf Coast Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3C1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3C1_M
432133,US.OIL.EIA.MAPRS3D1_A,Refining District North Louisiana-Arkansas Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3D1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3D1_A
432134,US.OIL.EIA.MAPRS3D1_M,Refining District North Louisiana-Arkansas Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3D1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3D1_M
432135,US.OIL.EIA.MAPRS3E1_A,Refining District New Mexico Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3E1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3E1_A
432136,US.OIL.EIA.MAPRS3E1_M,Refining District New Mexico Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRS3E1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRS3E1_M
432137,US.OIL.EIA.MAPRSAP1_A,Refining District Appalachian No. 1 Asphalt and Road Oil Stocks at Refineries Annual - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRSAP1_A,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRSAP1_A
432138,US.OIL.EIA.MAPRSAP1_M,Refining District Appalachian No. 1 Asphalt and Road Oil Stocks at Refineries Monthly - Thousand Barrels,407,EIA_RFST,US.OIL.EIA.MAPRSAP1_M,VOL,0,2312,0,0,model://EIA_RFST/US.OIL.EIA.MAPRSAP1_M
